envWait calcTimeFac blendTemp subject step Version trend waterLevel chosenValveSetting
8 1.0 0.5 1 33 "Linear increase" 4.64000 5.40600 -3.23400 
8 1.0 0.5 1 34 "Linear increase" 4.72000 4.04000 -6.08600 
8 1.0 0.5 1 35 "Linear increase" 4.80000 2.98400 -5.85600 
8 1.0 0.5 1 36 "Linear increase" 4.88000 3.98000 -3.88400 
8 1.0 0.5 1 37 "Linear increase" 4.96000 5.78800 -3.15200 
8 1.0 0.5 1 38 "Linear increase" 5.04000 4.02000 -6.80800 
8 1.0 0.5 1 39 "Linear increase" 5.12000 4.04000 -5.10000 
8 1.0 0.5 1 40 "Linear increase" 5.20000 3.96000 -5.28000 
8 1.0 0.5 1 41 "Linear increase" 5.28000 3.98000 -5.26000 
8 1.0 0.5 1 42 "Linear increase" 5.36000 4.00000 -5.34000 
8 1.0 0.5 1 43 "Linear increase" 5.44000 4.02000 -5.42000 
8 1.0 0.5 1 44 "Linear increase" 5.52000 4.04000 -5.50000 
8 1.0 0.5 1 45 "Linear increase" 5.60000 3.96000 -5.68000 
8 1.0 0.5 1 46 "Linear increase" 5.68000 3.98000 -5.66000 
8 1.0 0.5 1 47 "Linear increase" 5.76000 4.00000 -5.74000 
8 1.0 0.5 1 48 "Linear increase" 5.84000 4.02000 -5.82000 
8 1.0 0.5 1 49 "Linear increase" 5.92000 4.04000 -5.90000 
8 1.0 0.5 1 50 "Linear increase" 6.00000 3.96000 -6.08000 
8 1.0 0.5 1 51 "Linear increase" 6.08000 3.98000 -6.06000 
8 1.0 0.5 1 52 "Linear increase" 6.16000 4.00000 -6.14000 
8 1.0 0.5 1 53 "Linear increase" 6.24000 4.02000 -6.22000 
8 1.0 0.5 1 54 "Linear increase" 6.32000 4.04000 -6.30000 
8 1.0 0.5 1 55 "Linear increase" 6.40000 3.96000 -6.48000 
8 1.0 0.5 1 56 "Linear increase" 6.48000 3.98000 -6.46000 
8 1.0 0.5 1 57 "Linear increase" 6.56000 4.00000 -6.54000 
8 1.0 0.5 1 58 "Linear increase" 6.64000 4.02000 -6.62000 
8 1.0 0.5 1 59 "Linear increase" 6.72000 4.04000 -6.70000 
8 1.0 0.5 1 60 "Linear increase" 6.80000 3.96000 -6.88000 
8 1.0 0.5 1 61 "Linear increase" 6.88000 1.92200 -8.91800 
8 1.0 0.5 1 62 "Linear increase" 6.96000 4.00000 -4.88200 
8 1.0 0.5 1 63 "Linear increase" 7.04000 4.02000 -7.02000 
8 1.0 0.5 1 64 "Linear increase" 7.12000 4.04000 -7.10000 
8 1.0 0.5 1 65 "Linear increase" 7.20000 3.96000 -7.28000 
8 1.0 0.5 1 66 "Linear increase" 7.28000 3.98000 -7.26000 
8 1.0 0.5 1 67 "Linear increase" 7.36000 4.00000 -7.34000 
8 1.0 0.5 1 68 "Linear increase" 7.44000 4.02000 -7.42000 
8 1.0 0.5 1 69 "Linear increase" 7.52000 4.04000 -7.50000 
8 1.0 0.5 1 70 "Linear increase" 7.60000 3.96000 -7.68000 
8 1.0 0.5 1 71 "Linear increase" 7.68000 3.98000 -7.66000 
8 1.0 0.5 1 72 "Linear increase" 7.76000 4.00000 -7.74000 
8 1.0 0.5 1 73 "Linear increase" 7.84000 4.02000 -7.82000 
8 1.0 0.5 1 74 "Linear increase" 7.92000 4.04000 -7.90000 
8 1.0 0.5 1 75 "Linear increase" 8.00000 3.96000 -8.08000 
8 1.0 0.5 1 76 "Linear increase" 8.08000 3.98000 -8.06000 
8 1.0 0.5 1 77 "Linear increase" 8.16000 4.00000 -8.14000 
8 1.0 0.5 1 78 "Linear increase" 8.24000 4.02000 -8.22000 
8 1.0 0.5 1 79 "Linear increase" 8.32000 4.04000 -8.30000 
8 1.0 0.5 1 80 "Linear increase" 8.40000 3.96000 -8.48000 
8 1.0 0.5 1 81 "Linear increase" 8.48000 2.28800 -10.15200 
8 1.0 0.5 1 82 "Linear increase" 8.56000 7.42400 -3.42400 
8 1.0 0.5 1 83 "Linear increase" 8.64000 4.02000 -12.04400 
8 1.0 0.5 1 84 "Linear increase" 8.72000 4.04000 -8.70000 
8 1.0 0.5 1 85 "Linear increase" 8.80000 3.96000 -8.88000 
8 1.0 0.5 1 86 "Linear increase" 8.88000 3.98000 -8.86000 
8 1.0 0.5 1 87 "Linear increase" 8.96000 4.00000 -8.94000 
8 1.0 0.5 1 88 "Linear increase" 9.04000 4.02000 -9.02000 
8 1.0 0.5 1 89 "Linear increase" 9.12000 4.04000 -9.10000 
8 1.0 0.5 1 90 "Linear increase" 9.20000 3.96000 -9.28000 
8 1.0 0.5 1 91 "Linear increase" 9.28000 3.98000 -9.26000 
8 1.0 0.5 1 92 "Linear increase" 9.36000 4.00000 -9.34000 
8 1.0 0.5 1 93 "Linear increase" 9.44000 4.02000 -9.42000 
8 1.0 0.5 1 94 "Linear increase" 9.52000 4.04000 -9.50000 
8 1.0 0.5 1 95 "Linear increase" 9.60000 3.96000 -9.68000 
8 1.0 0.5 1 96 "Linear increase" 9.68000 5.91200 -7.72800 
8 1.0 0.5 1 97 "Linear increase" 9.76000 4.00000 -11.67200 
8 1.0 0.5 1 98 "Linear increase" 9.84000 4.02000 -9.82000 
8 1.0 0.5 1 99 "Linear increase" 9.92000 2.06000 -11.88000 
8 1.0 0.5 1 100 "Linear increase" 10.00000 3.96000 -8.10000 
8 1.0 0.5 1 1 "Linear decrease" 9.92000 22.92000 11.00000 
8 1.0 0.5 1 2 "Linear decrease" 9.84000 0.00000 -38.49493 
8 1.0 0.5 1 3 "Linear decrease" 9.76000 0.00000 -20.68000 
8 1.0 0.5 1 4 "Linear decrease" 9.68000 0.00000 -10.73107 
8 1.0 0.5 1 5 "Linear decrease" 9.60000 23.16000 13.56000 
8 1.0 0.5 1 6 "Linear decrease" 9.52000 50.34000 17.66000 
8 1.0 0.5 1 7 "Linear decrease" 9.44000 4.00000 -55.78000 
8 1.0 0.5 1 8 "Linear decrease" 9.36000 3.98000 -9.38000 
8 1.0 0.5 1 9 "Linear decrease" 9.28000 3.96000 -9.30000 
8 1.0 0.5 1 10 "Linear decrease" 9.20000 4.04000 -9.12000 
8 1.0 0.5 1 11 "Linear decrease" 9.12000 4.02000 -9.14000 
8 1.0 0.5 1 12 "Linear decrease" 9.04000 4.00000 -9.06000 
8 1.0 0.5 1 13 "Linear decrease" 8.96000 3.98000 -8.98000 
8 1.0 0.5 1 14 "Linear decrease" 8.88000 3.96000 -8.90000 
8 1.0 0.5 1 15 "Linear decrease" 8.80000 4.04000 -8.72000 
8 1.0 0.5 1 16 "Linear decrease" 8.72000 4.02000 -8.74000 
8 1.0 0.5 1 17 "Linear decrease" 8.64000 4.00000 -8.66000 
8 1.0 0.5 1 18 "Linear decrease" 8.56000 3.98000 -8.58000 
8 1.0 0.5 1 19 "Linear decrease" 8.48000 3.96000 -8.50000 
8 1.0 0.5 1 20 "Linear decrease" 8.40000 1.57600 -10.78400 
8 1.0 0.5 1 21 "Linear decrease" 8.32000 4.02000 -5.87600 
8 1.0 0.5 1 22 "Linear decrease" 8.24000 4.00000 -8.26000 
8 1.0 0.5 1 23 "Linear decrease" 8.16000 3.98000 -8.18000 
8 1.0 0.5 1 24 "Linear decrease" 8.08000 3.96000 -8.10000 
8 1.0 0.5 1 25 "Linear decrease" 8.00000 4.04000 -7.92000 
8 1.0 0.5 1 26 "Linear decrease" 7.92000 4.02000 -7.94000 
8 1.0 0.5 1 27 "Linear decrease" 7.84000 4.00000 -7.86000 
8 1.0 0.5 1 28 "Linear decrease" 7.76000 3.98000 -7.78000 
8 1.0 0.5 1 29 "Linear decrease" 7.68000 3.96000 -7.70000 
8 1.0 0.5 1 30 "Linear decrease" 7.60000 4.04000 -7.52000 
8 1.0 0.5 1 31 "Linear decrease" 7.52000 4.02000 -7.54000 
8 1.0 0.5 1 32 "Linear decrease" 7.44000 4.00000 -7.46000 
8 1.0 0.5 1 33 "Linear decrease" 7.36000 3.98000 -7.38000 
8 1.0 0.5 1 34 "Linear decrease" 7.28000 3.96000 -7.30000 
8 1.0 0.5 1 35 "Linear decrease" 7.20000 4.04000 -7.12000 
8 1.0 0.5 1 36 "Linear decrease" 7.12000 4.02000 -7.14000 
8 1.0 0.5 1 37 "Linear decrease" 7.04000 4.00000 -7.06000 
8 1.0 0.5 1 38 "Linear decrease" 6.96000 3.98000 -6.98000 
8 1.0 0.5 1 39 "Linear decrease" 6.88000 1.89000 -8.97000 
8 1.0 0.5 1 40 "Linear decrease" 6.80000 4.04000 -4.65000 
8 1.0 0.5 1 41 "Linear decrease" 6.72000 4.02000 -6.74000 
8 1.0 0.5 1 42 "Linear decrease" 6.64000 4.00000 -6.66000 
8 1.0 0.5 1 43 "Linear decrease" 6.56000 3.98000 -6.58000 
8 1.0 0.5 1 44 "Linear decrease" 6.48000 3.96000 -6.50000 
8 1.0 0.5 1 45 "Linear decrease" 6.40000 4.04000 -6.32000 
8 1.0 0.5 1 46 "Linear decrease" 6.32000 4.02000 -6.34000 
8 1.0 0.5 1 47 "Linear decrease" 6.24000 4.00000 -6.26000 
8 1.0 0.5 1 48 "Linear decrease" 6.16000 3.98000 -6.18000 
8 1.0 0.5 1 49 "Linear decrease" 6.08000 3.96000 -6.10000 
8 1.0 0.5 1 50 "Linear decrease" 6.00000 4.04000 -5.92000 
8 1.0 0.5 1 51 "Linear decrease" 5.92000 4.02000 -5.94000 
8 1.0 0.5 1 52 "Linear decrease" 5.84000 4.00000 -5.86000 
8 1.0 0.5 1 53 "Linear decrease" 5.76000 3.98000 -5.78000 
8 1.0 0.5 1 54 "Linear decrease" 5.68000 5.10000 -4.56000 
8 1.0 0.5 1 55 "Linear decrease" 5.60000 4.04000 -6.66000 
8 1.0 0.5 1 56 "Linear decrease" 5.52000 4.02000 -5.54000 
8 1.0 0.5 1 57 "Linear decrease" 5.44000 4.00000 -5.46000 
8 1.0 0.5 1 58 "Linear decrease" 5.36000 3.98000 -5.38000 
8 1.0 0.5 1 59 "Linear decrease" 5.28000 3.96000 -5.30000 
8 1.0 0.5 1 60 "Linear decrease" 5.20000 4.04000 -5.12000 
8 1.0 0.5 1 61 "Linear decrease" 5.12000 4.02000 -5.14000 
8 1.0 0.5 1 62 "Linear decrease" 5.04000 4.00000 -5.06000 
8 1.0 0.5 1 63 "Linear decrease" 4.96000 3.98000 -4.98000 
8 1.0 0.5 1 64 "Linear decrease" 4.88000 3.96000 -4.90000 
8 1.0 0.5 1 65 "Linear decrease" 4.80000 4.04000 -4.72000 
8 1.0 0.5 1 66 "Linear decrease" 4.72000 4.02000 -4.74000 
8 1.0 0.5 1 67 "Linear decrease" 4.64000 4.00000 -4.66000 
8 1.0 0.5 1 68 "Linear decrease" 4.56000 3.98000 -4.58000 
8 1.0 0.5 1 69 "Linear decrease" 4.48000 3.96000 -4.50000 
8 1.0 0.5 1 70 "Linear decrease" 4.40000 4.04000 -4.32000 
8 1.0 0.5 1 71 "Linear decrease" 4.32000 4.02000 -4.34000 
8 1.0 0.5 1 72 "Linear decrease" 4.24000 4.00000 -4.26000 
8 1.0 0.5 1 73 "Linear decrease" 4.16000 3.98000 -4.18000 
8 1.0 0.5 1 74 "Linear decrease" 4.08000 3.96000 -4.10000 
8 1.0 0.5 1 75 "Linear decrease" 4.00000 4.04000 -3.92000 
8 1.0 0.5 1 76 "Linear decrease" 3.92000 4.02000 -3.94000 
8 1.0 0.5 1 77 "Linear decrease" 3.84000 4.77200 -3.08800 
8 1.0 0.5 1 78 "Linear decrease" 3.76000 3.98000 -4.55200 
8 1.0 0.5 1 79 "Linear decrease" 3.68000 3.96000 -3.70000 
8 1.0 0.5 1 80 "Linear decrease" 3.60000 4.04000 -3.52000 
8 1.0 0.5 1 81 "Linear decrease" 3.52000 4.02000 -3.54000 
8 1.0 0.5 1 82 "Linear decrease" 3.44000 4.00000 -3.46000 
8 1.0 0.5 1 83 "Linear decrease" 3.36000 3.98000 -3.38000 
8 1.0 0.5 1 84 "Linear decrease" 3.28000 3.96000 -3.30000 
8 1.0 0.5 1 85 "Linear decrease" 3.20000 4.04000 -3.12000 
8 1.0 0.5 1 86 "Linear decrease" 3.12000 4.02000 -3.14000 
8 1.0 0.5 1 87 "Linear decrease" 3.04000 4.00000 -3.06000 
8 1.0 0.5 1 88 "Linear decrease" 2.96000 3.98000 -2.98000 
8 1.0 0.5 1 89 "Linear decrease" 2.88000 3.96000 -2.90000 
8 1.0 0.5 1 90 "Linear decrease" 2.80000 4.04000 -2.72000 
8 1.0 0.5 1 91 "Linear decrease" 2.72000 4.02000 -2.74000 
8 1.0 0.5 1 92 "Linear decrease" 2.64000 4.00000 -2.66000 
8 1.0 0.5 1 93 "Linear decrease" 2.56000 3.98000 -2.58000 
8 1.0 0.5 1 94 "Linear decrease" 2.48000 3.96000 -2.50000 
8 1.0 0.5 1 95 "Linear decrease" 2.40000 4.04000 -2.32000 
8 1.0 0.5 1 96 "Linear decrease" 2.32000 4.02000 -2.34000 
8 1.0 0.5 1 97 "Linear decrease" 2.24000 4.00000 -2.26000 
8 1.0 0.5 1 98 "Linear decrease" 2.16000 3.98000 -2.18000 
8 1.0 0.5 1 99 "Linear decrease" 2.08000 3.96000 -2.10000 
8 1.0 0.5 1 100 "Linear decrease" 2.00000 4.04000 -1.92000 
8 1.0 0.5 1 1 "Non Linear increase" 0.00000 16.00000 14.00000 
8 1.0 0.5 1 2 "Non Linear increase" 1.50515 5.50515 -12.00000 
8 1.0 0.5 1 3 "Non Linear increase" 2.38561 20.40621 12.51545 
8 1.0 0.5 1 4 "Non Linear increase" 3.01030 5.24711 -18.16939 
8 1.0 0.5 1 5 "Non Linear increase" 3.49485 4.91549 -3.82648 
8 1.0 0.5 1 6 "Non Linear increase" 3.89076 4.01325 -4.79300 
8 1.0 0.5 1 7 "Non Linear increase" 4.22549 5.78863 -2.45011 
8 1.0 0.5 1 8 "Non Linear increase" 4.51545 3.74451 -6.55957 
8 1.0 0.5 1 9 "Non Linear increase" 4.77121 1.44221 -7.07350 
8 1.0 0.5 1 10 "Non Linear increase" 5.00000 4.41326 -2.02896 
8 1.0 0.5 1 11 "Non Linear increase" 5.20696 3.31840 -6.30183 
8 1.0 0.5 1 12 "Non Linear increase" 5.39591 3.21133 -5.50297 
8 1.0 0.5 1 13 "Non Linear increase" 5.56972 2.88705 -5.89400 
8 1.0 0.5 1 14 "Non Linear increase" 5.73064 3.30728 -5.31041 
8 1.0 0.5 1 15 "Non Linear increase" 5.88046 3.97278 -5.21496 
8 1.0 0.5 1 16 "Non Linear increase" 6.02060 4.13514 -5.85824 
8 1.0 0.5 1 17 "Non Linear increase" 6.15224 4.11730 -6.17008 
8 1.0 0.5 1 18 "Non Linear increase" 6.27636 3.82729 -6.56637 
8 1.0 0.5 1 19 "Non Linear increase" 6.39377 3.57980 -6.64126 
8 1.0 0.5 1 20 "Non Linear increase" 6.50515 3.61763 -6.46732 
8 1.0 0.5 1 21 "Non Linear increase" 6.61110 3.36087 -6.86786 
8 1.0 0.5 1 22 "Non Linear increase" 6.71211 2.70496 -7.36802 
8 1.0 0.5 1 23 "Non Linear increase" 6.80864 2.48949 -7.02411 
8 1.0 0.5 1 24 "Non Linear increase" 6.90106 2.31821 -7.07234 
8 1.0 0.5 1 25 "Non Linear increase" 6.98970 2.83055 -6.47736 
8 1.0 0.5 1 26 "Non Linear increase" 7.07487 3.13504 -6.77037 
8 1.0 0.5 1 27 "Non Linear increase" 7.15682 3.19216 -7.09970 
8 1.0 0.5 1 28 "Non Linear increase" 7.23579 1.93302 -8.49493 
8 1.0 0.5 1 29 "Non Linear increase" 7.31199 2.81531 -6.42970 
8 1.0 0.5 1 30 "Non Linear increase" 7.38561 2.05678 -8.14413 
8 1.0 0.5 1 31 "Non Linear increase" 7.45681 1.85503 -7.65856 
8 1.0 0.5 1 32 "Non Linear increase" 7.52575 2.88207 -6.49871 
8 1.0 0.5 1 33 "Non Linear increase" 7.59257 1.84926 -8.62538 
8 1.0 0.5 1 34 "Non Linear increase" 7.65739 1.81113 -7.69552 
8 1.0 0.5 1 35 "Non Linear increase" 7.72034 2.76087 -6.77060 
8 1.0 0.5 1 36 "Non Linear increase" 7.78151 2.91922 -7.62316 
8 1.0 0.5 1 37 "Non Linear increase" 7.84101 2.51204 -8.24819 
8 1.0 0.5 1 38 "Non Linear increase" 7.89892 2.24468 -8.16629 
8 1.0 0.5 1 39 "Non Linear increase" 7.95532 2.72894 -7.47106 
8 1.0 0.5 1 40 "Non Linear increase" 8.01030 2.95630 -7.78294 
8 1.0 0.5 1 41 "Non Linear increase" 8.06392 2.04253 -8.97768 
8 1.0 0.5 1 42 "Non Linear increase" 8.11625 2.21307 -7.94571 
8 1.0 0.5 1 43 "Non Linear increase" 8.16734 1.61374 -8.76667 
8 1.0 0.5 1 44 "Non Linear increase" 8.21726 2.01965 -7.81135 
8 1.0 0.5 1 45 "Non Linear increase" 8.26606 2.69666 -7.58906 
8 1.0 0.5 1 46 "Non Linear increase" 8.31379 1.84292 -9.16753 
8 1.0 0.5 1 47 "Non Linear increase" 8.36049 1.53709 -8.66631 
8 1.0 0.5 1 48 "Non Linear increase" 8.40621 3.19450 -6.74880 
8 1.0 0.5 1 49 "Non Linear increase" 8.45098 1.92924 -9.71624 
8 1.0 0.5 1 50 "Non Linear increase" 8.49485 0.88829 -9.53579 
8 1.0 0.5 1 51 "Non Linear increase" 8.53785 1.98279 -7.44335 
8 1.0 0.5 1 52 "Non Linear increase" 8.58002 2.31433 -8.24847 
8 1.0 0.5 1 53 "Non Linear increase" 8.62138 3.42790 -7.50781 
8 1.0 0.5 1 54 "Non Linear increase" 8.66197 2.31365 -9.77622 
8 1.0 0.5 1 55 "Non Linear increase" 8.70181 2.48094 -8.53452 
8 1.0 0.5 1 56 "Non Linear increase" 8.74094 2.69483 -8.52705 
8 1.0 0.5 1 57 "Non Linear increase" 8.77937 2.71517 -8.75904 
8 1.0 0.5 1 58 "Non Linear increase" 8.81714 1.12931 -10.40300 
8 1.0 0.5 1 59 "Non Linear increase" 8.85426 2.43683 -7.54673 
8 1.0 0.5 1 60 "Non Linear increase" 8.89076 2.37625 -8.95134 
8 1.0 0.5 1 61 "Non Linear increase" 8.92665 1.49603 -9.80686 
8 1.0 0.5 1 62 "Non Linear increase" 8.96196 1.57378 -8.88421 
8 1.0 0.5 1 63 "Non Linear increase" 8.99670 2.14107 -8.42942 
8 1.0 0.5 1 64 "Non Linear increase" 9.03090 2.00546 -9.16651 
8 1.0 0.5 1 65 "Non Linear increase" 9.06457 1.57497 -9.49506 
8 1.0 0.5 1 66 "Non Linear increase" 9.09772 1.91976 -8.75292 
8 1.0 0.5 1 67 "Non Linear increase" 9.13037 2.29011 -8.76003 
8 1.0 0.5 1 68 "Non Linear increase" 9.16254 2.31683 -9.13582 
8 1.0 0.5 1 69 "Non Linear increase" 9.19425 2.10068 -9.41039 
8 1.0 0.5 1 70 "Non Linear increase" 9.22549 2.08110 -9.24508 
8 1.0 0.5 1 71 "Non Linear increase" 9.25629 1.42467 -9.91272 
8 1.0 0.5 1 72 "Non Linear increase" 9.28666 2.45890 -8.25243 
8 1.0 0.5 1 73 "Non Linear increase" 9.31662 1.72401 -10.05151 
8 1.0 0.5 1 74 "Non Linear increase" 9.34616 1.89598 -9.17419 
8 1.0 0.5 1 75 "Non Linear increase" 9.37531 2.15718 -9.11411 
8 1.0 0.5 1 76 "Non Linear increase" 9.40407 1.88944 -9.67181 
8 1.0 0.5 1 77 "Non Linear increase" 9.43245 1.88258 -9.43931 
8 1.0 0.5 1 78 "Non Linear increase" 9.46047 2.22801 -9.11505 
8 1.0 0.5 1 79 "Non Linear increase" 9.48814 1.99027 -9.72588 
8 1.0 0.5 1 80 "Non Linear increase" 9.51545 2.35728 -9.14844 
8 1.0 0.5 1 81 "Non Linear increase" 9.54243 1.88609 -10.01361 
8 1.0 0.5 1 82 "Non Linear increase" 9.56907 2.66507 -8.79008 
8 1.0 0.5 1 83 "Non Linear increase" 9.59539 2.32133 -9.93914 
8 1.0 0.5 1 84 "Non Linear increase" 9.62140 1.76535 -10.17737 
8 1.0 0.5 1 85 "Non Linear increase" 9.64709 2.50438 -8.90806 
8 1.0 0.5 1 86 "Non Linear increase" 9.67249 1.93609 -10.24078 
8 1.0 0.5 1 87 "Non Linear increase" 9.69760 2.20409 -9.42960 
8 1.0 0.5 1 88 "Non Linear increase" 9.72241 1.91144 -10.01506 
8 1.0 0.5 1 89 "Non Linear increase" 9.74695 0.97573 -10.68266 
8 1.0 0.5 1 90 "Non Linear increase" 9.77121 2.17059 -8.57636 
8 1.0 0.5 1 91 "Non Linear increase" 9.79521 1.61972 -10.34607 
8 1.0 0.5 1 92 "Non Linear increase" 9.81894 1.75663 -9.68203 
8 1.0 0.5 1 93 "Non Linear increase" 9.84241 2.20511 -9.39393 
8 1.0 0.5 1 94 "Non Linear increase" 9.86564 1.63973 -10.43102 
8 1.0 0.5 1 95 "Non Linear increase" 9.88862 2.60622 -8.92213 
8 1.0 0.5 1 96 "Non Linear increase" 9.91136 2.09465 -10.42293 
8 1.0 0.5 1 97 "Non Linear increase" 9.93386 2.17969 -9.84882 
8 1.0 0.5 1 98 "Non Linear increase" 9.95613 2.35392 -9.78190 
8 1.0 0.5 1 99 "Non Linear increase" 9.97818 2.01598 -10.31611 
8 1.0 0.5 1 100 "Non Linear increase" 10.00000 1.86686 -10.14912 
8 1.0 0.5 1 1 "Non Linear decrease" 10.00000 27.00000 15.00000 
8 1.0 0.5 1 2 "Non Linear decrease" 9.97818 47.97818 11.00000 
8 1.0 0.5 1 3 "Non Linear decrease" 9.95613 0.81199 -57.12232 
8 1.0 0.5 1 4 "Non Linear decrease" 9.93386 23.84612 13.10028 
8 1.0 0.5 1 5 "Non Linear decrease" 9.91136 4.04364 -29.71384 
8 1.0 0.5 1 6 "Non Linear decrease" 9.88862 3.96591 -9.96635 
8 1.0 0.5 1 7 "Non Linear decrease" 9.86564 3.98840 -9.84314 
8 1.0 0.5 1 8 "Non Linear decrease" 9.84241 4.01114 -9.81968 
8 1.0 0.5 1 9 "Non Linear decrease" 9.81894 4.03411 -9.79596 
8 1.0 0.5 1 10 "Non Linear decrease" 9.79521 3.95733 -9.87199 
8 1.0 0.5 1 11 "Non Linear decrease" 9.77121 3.98080 -9.74774 
8 1.0 0.5 1 12 "Non Linear decrease" 9.74695 4.00453 -9.72322 
8 1.0 0.5 1 13 "Non Linear decrease" 9.72241 4.02851 -9.69843 
8 1.0 0.5 1 14 "Non Linear decrease" 9.69760 3.95277 -9.77334 
8 1.0 0.5 1 15 "Non Linear decrease" 9.67249 3.97730 -9.64796 
8 1.0 0.5 1 16 "Non Linear decrease" 9.64709 4.00211 -9.62228 
8 1.0 0.5 1 17 "Non Linear decrease" 9.62140 4.02721 -9.59630 
8 1.0 0.5 1 18 "Non Linear decrease" 9.59539 3.95260 -9.67000 
8 1.0 0.5 1 19 "Non Linear decrease" 9.56907 3.97829 -9.54338 
8 1.0 0.5 1 20 "Non Linear decrease" 9.54243 4.00429 -9.51643 
8 1.0 0.5 1 21 "Non Linear decrease" 9.51545 4.03060 -9.48914 
8 1.0 0.5 1 22 "Non Linear decrease" 9.48814 3.95724 -9.56150 
8 1.0 0.5 1 23 "Non Linear decrease" 9.46047 3.98420 -9.43351 
8 1.0 0.5 1 24 "Non Linear decrease" 9.43245 4.01151 -9.40515 
8 1.0 0.5 1 25 "Non Linear decrease" 9.40407 4.03916 -9.37641 
8 1.0 0.5 1 26 "Non Linear decrease" 9.37531 5.85663 -7.55784 
8 1.0 0.5 1 27 "Non Linear decrease" 9.34616 0.00000 -15.69014 
8 1.0 0.5 1 28 "Non Linear decrease" 9.31662 4.02430 -5.29232 
8 1.0 0.5 1 29 "Non Linear decrease" 9.28666 3.95343 -9.35753 
8 1.0 0.5 1 30 "Non Linear decrease" 9.25629 3.98297 -9.22676 
8 1.0 0.5 1 31 "Non Linear decrease" 9.22549 4.01291 -9.19555 
8 1.0 0.5 1 32 "Non Linear decrease" 9.19425 4.04327 -9.16388 
8 1.0 0.5 1 33 "Non Linear decrease" 9.16254 3.97405 -9.23176 
8 1.0 0.5 1 34 "Non Linear decrease" 9.13037 4.00529 -9.09914 
8 1.0 0.5 1 35 "Non Linear decrease" 9.09772 4.03697 -9.06603 
8 1.0 0.5 1 36 "Non Linear decrease" 9.06457 3.96913 -9.13241 
8 1.0 0.5 1 37 "Non Linear decrease" 9.03090 7.60107 -5.39896 
8 1.0 0.5 1 38 "Non Linear decrease" 8.99670 4.03490 -12.56287 
8 1.0 0.5 1 39 "Non Linear decrease" 8.96196 3.96855 -9.02831 
8 1.0 0.5 1 40 "Non Linear decrease" 8.92665 4.00273 -8.89247 
8 1.0 0.5 1 41 "Non Linear decrease" 8.89076 4.03746 -8.85603 
8 1.0 0.5 1 42 "Non Linear decrease" 8.85426 3.97275 -8.91897 
8 1.0 0.5 1 43 "Non Linear decrease" 8.81714 4.00862 -8.78127 
8 1.0 0.5 1 44 "Non Linear decrease" 8.77937 4.04510 -8.74290 
8 1.0 0.5 1 45 "Non Linear decrease" 8.74094 3.98219 -8.80384 
8 1.0 0.5 1 46 "Non Linear decrease" 8.70181 4.01994 -8.66407 
