Version,Subject,Time Step,EnvirInFlow,EnvirOutFlow,UserInFlow,UserOutFlow,AmountInTank,Goal
Linear increase,t18,9,2.720,0.000,1.000,6.000,7.100,4.000
Linear increase,t18,10,2.800,0.000,1.000,8.000,2.900,4.000
Linear increase,t18,11,2.880,0.000,2.000,1.000,6.780,4.000
Linear increase,t18,12,2.960,0.000,1.500,1.000,10.240,4.000
Linear increase,t18,13,3.040,0.000,0.500,8.000,5.780,4.000
Linear increase,t18,14,3.120,0.000,1.000,2.000,7.900,4.000
Linear increase,t18,15,3.200,0.000,1.000,6.000,6.100,4.000
Linear increase,t18,16,3.280,0.000,1.000,3.000,7.380,4.000
Linear increase,t18,17,3.360,0.000,1.000,8.000,3.740,4.000
Linear increase,t18,18,3.440,0.000,1.000,0.200,7.980,4.000
Linear increase,t18,19,3.520,0.000,1.000,8.000,4.500,4.000
Linear increase,t18,20,3.600,0.000,0.500,3.000,5.600,4.000
Linear increase,t18,21,3.680,0.000,0.500,4.000,5.780,4.000
Linear increase,t18,22,3.760,0.000,0.500,4.000,6.040,4.000
Linear increase,t18,23,3.840,0.000,0.500,6.000,4.380,4.000
Linear increase,t18,24,3.920,0.000,0.500,5.000,3.800,4.000
Linear increase,t18,25,4.000,0.000,0.500,4.000,4.300,4.000
Linear increase,t18,26,4.080,0.000,0.500,4.700,4.180,4.000
Linear increase,t18,27,4.160,0.000,0.500,4.700,4.140,4.000
Linear increase,t18,28,4.240,0.000,0.500,4.700,4.180,4.000
Linear increase,t18,29,4.320,0.000,0.500,4.700,4.300,4.000
Linear increase,t18,30,4.400,0.000,0.500,5.000,4.200,4.000
Linear increase,t18,31,4.480,0.000,0.500,5.000,4.180,4.000
Linear increase,t18,32,4.560,0.000,0.000,0.000,8.740,4.000
Linear increase,t18,33,4.640,0.000,0.500,10.000,3.880,4.000
Linear increase,t18,34,4.720,0.000,0.500,4.800,4.300,4.000
Linear increase,t18,35,4.800,0.000,0.500,4.700,4.900,4.000
Linear increase,t18,36,4.880,0.000,0.500,5.200,5.080,4.000
Linear increase,t18,37,4.960,0.000,0.500,6.000,4.540,4.000
Linear increase,t18,38,5.040,0.000,0.500,7.000,3.080,4.000
Linear increase,t18,39,5.120,0.000,0.500,6.000,2.700,4.000
Linear increase,t18,40,5.200,0.000,0.500,5.000,3.400,4.000
Linear increase,t18,41,5.280,0.000,0.500,4.000,5.180,4.000
Linear increase,t18,42,5.360,0.000,0.500,4.000,7.040,4.000
Linear increase,t18,43,5.440,0.000,0.500,8.000,4.980,4.000
Linear increase,t18,44,5.520,0.000,0.650,12.000,-0.850,4.000
Linear increase,t18,45,5.600,0.000,4.000,0.000,8.750,4.000
Linear increase,t18,46,5.680,0.000,1.000,8.000,7.430,4.000
Linear increase,t18,47,5.760,0.000,0.500,5.000,8.690,4.000
Linear increase,t18,48,5.840,0.000,0.500,7.000,8.030,4.000
Linear increase,t18,49,5.920,0.000,0.500,6.000,8.450,4.000
Linear increase,t18,50,6.000,0.000,0.500,5.000,9.950,4.000
Linear increase,t18,51,6.080,0.000,0.500,15.000,1.530,4.000
Linear increase,t18,52,6.160,0.000,0.500,4.000,4.190,4.000
Linear increase,t18,53,6.240,0.000,0.500,4.000,6.930,4.000
Linear increase,t18,54,6.320,0.000,0.500,7.000,6.750,4.000
Linear increase,t18,55,6.400,0.000,0.500,8.000,5.650,4.000
Linear increase,t18,56,6.480,0.000,0.500,8.000,4.630,4.000
Linear increase,t18,57,6.560,0.000,0.500,7.000,4.690,4.000
Linear increase,t18,58,6.640,0.000,0.500,7.500,4.330,4.000
Linear increase,t18,59,6.720,0.000,0.500,7.500,4.050,4.000
Linear increase,t18,60,6.800,0.000,0.500,7.500,3.850,4.000
Linear increase,t18,61,6.880,0.000,0.500,7.700,3.530,4.000
Linear increase,t18,62,6.960,0.000,0.500,7.000,3.990,4.000
Linear increase,t18,63,7.040,0.000,0.500,7.000,4.530,4.000
Linear increase,t18,64,7.120,0.000,0.500,7.000,5.150,4.000
Linear increase,t18,65,7.200,0.000,0.500,7.000,5.850,4.000
Linear increase,t18,66,7.280,0.000,0.500,9.000,4.630,4.000
Linear increase,t18,67,7.360,0.000,0.500,8.000,4.490,4.000
Linear increase,t18,68,7.440,0.000,0.500,9.000,3.430,4.000
Linear increase,t18,69,7.520,0.000,0.500,8.000,3.450,4.000
Linear increase,t18,70,7.600,0.000,0.500,6.000,5.550,4.000
Linear increase,t18,71,7.680,0.000,0.500,7.000,6.730,4.000
Linear increase,t18,72,7.760,0.000,0.500,8.000,6.990,4.000
Linear increase,t18,73,7.840,0.000,0.500,9.000,6.330,4.000
Linear increase,t18,74,7.920,0.000,0.500,9.000,5.750,4.000
Linear increase,t18,75,8.000,0.000,0.500,9.000,5.250,4.000
Linear increase,t18,76,8.080,0.000,0.500,12.000,1.830,4.000
Linear increase,t18,77,8.160,0.000,0.500,7.000,3.490,4.000
Linear increase,t18,78,8.240,0.000,0.500,7.000,5.230,4.000
Linear increase,t18,79,8.320,0.000,0.500,7.000,7.050,4.000
Linear increase,t18,80,8.400,0.000,0.500,9.000,6.950,4.000
Linear increase,t18,81,8.480,0.000,0.500,11.000,4.930,4.000
Linear increase,t18,82,8.560,0.000,0.500,9.000,4.990,4.000
Linear increase,t18,83,8.640,0.000,0.500,9.000,5.130,4.000
Linear increase,t18,84,8.720,0.000,0.500,9.000,5.350,4.000
Linear increase,t18,85,8.800,0.000,0.500,11.000,3.650,4.000
Linear increase,t18,86,8.880,0.000,0.500,9.000,4.030,4.000
Linear increase,t18,87,8.960,0.000,0.500,9.000,4.490,4.000
Linear increase,t18,88,9.040,0.000,0.500,9.000,5.030,4.000
Linear increase,t18,89,9.120,0.000,0.500,9.000,5.650,4.000
Linear increase,t18,90,9.200,0.000,0.500,10.000,5.350,4.000
Linear increase,t18,91,9.280,0.000,0.500,8.000,7.130,4.000
Linear increase,t18,92,9.360,0.000,0.500,11.000,5.990,4.000
Linear increase,t18,93,9.440,0.000,0.500,12.000,3.930,4.000
Linear increase,t18,94,9.520,0.000,0.500,11.000,2.950,4.000
Linear increase,t18,95,9.600,0.000,0.500,9.000,4.050,4.000
Linear increase,t18,96,9.680,0.000,0.500,9.000,5.230,4.000
Linear increase,t18,97,9.760,0.000,0.500,8.000,7.490,4.000
Linear increase,t18,98,9.840,0.000,0.500,12.000,5.830,4.000
Linear increase,t18,99,9.920,0.000,0.500,12.000,4.250,4.000
Linear increase,t18,100,10.000,0.000,0.500,10.000,4.750,4.000
Linear increase,t20,1,2.080,0.000,3.000,1.000,6.080,4.000
Linear increase,t20,2,2.160,0.000,1.000,4.000,5.240,4.000
Linear increase,t20,3,2.240,0.000,1.000,3.000,5.480,4.000
Linear increase,t20,4,2.320,0.000,5.000,1.000,11.800,4.000
Linear increase,t20,5,2.400,0.000,0.000,8.000,6.200,4.000
Linear increase,t20,6,2.480,0.000,0.000,5.000,3.680,4.000
Linear increase,t20,7,2.560,0.000,2.000,4.000,4.240,4.000
Linear increase,t20,8,2.640,0.000,1.000,3.000,4.880,4.000
Linear increase,t20,9,2.720,0.000,0.000,4.000,3.600,4.000
Linear increase,t20,10,2.800,0.000,3.000,4.000,5.400,4.000
Linear increase,t20,11,2.880,0.000,1.000,5.000,4.280,4.000
Linear increase,t20,12,2.960,0.000,1.000,4.000,4.240,4.000
Linear increase,t20,13,3.040,0.000,1.000,4.000,4.280,4.000
Linear increase,t20,14,3.120,0.000,1.000,5.000,3.400,4.000
Linear increase,t20,15,3.200,0.000,2.000,3.000,5.600,4.000
Linear increase,t20,16,3.280,0.000,0.000,3.000,5.880,4.000
Linear increase,t20,17,3.360,0.000,0.000,4.000,5.240,4.000
Linear increase,t20,18,3.440,0.000,0.000,6.000,2.680,4.000
Linear increase,t20,19,3.520,0.000,1.000,3.000,4.200,4.000
Linear increase,t20,20,3.600,0.000,0.000,4.000,3.800,4.000
Linear increase,t20,21,3.680,0.000,0.000,4.000,3.480,4.000
Linear increase,t20,22,3.760,0.000,0.000,3.000,4.240,4.000
Linear increase,t20,23,3.840,0.000,0.000,3.000,5.080,4.000
Linear increase,t20,24,3.920,0.000,0.000,3.000,6.000,4.000
Linear increase,t20,25,4.000,0.000,0.000,5.000,5.000,4.000
Linear increase,t20,26,4.080,0.000,0.000,3.000,6.080,4.000
Linear increase,t20,27,4.160,0.000,0.000,4.000,6.240,4.000
Linear increase,t20,28,4.240,0.000,0.000,5.000,5.480,4.000
Linear increase,t20,29,4.320,0.000,0.000,7.000,2.800,4.000
Linear increase,t20,30,4.400,0.000,0.000,2.000,5.200,4.000
Linear increase,t20,31,4.480,0.000,0.000,3.000,6.680,4.000
Linear increase,t20,32,4.560,0.000,0.000,6.000,5.240,4.000
Linear increase,t20,33,4.640,0.000,0.000,8.000,1.880,4.000
Linear increase,t20,34,4.720,0.000,0.000,2.000,4.600,4.000
Linear increase,t20,35,4.800,0.000,0.000,3.000,6.400,4.000
Linear increase,t20,36,4.880,0.000,0.000,8.000,3.280,4.000
Linear increase,t20,37,4.960,0.000,0.000,4.000,4.240,4.000
Linear increase,t20,38,5.040,0.000,0.000,7.000,2.280,4.000
Linear increase,t20,39,5.120,0.000,1.000,4.000,4.400,4.000
Linear increase,t20,40,5.200,0.000,0.000,3.000,6.600,4.000
Linear increase,t20,41,5.280,0.000,0.000,4.000,7.880,4.000
Linear increase,t20,42,5.360,0.000,0.000,8.000,5.240,4.000
Linear increase,t20,43,5.440,0.000,0.000,7.000,3.680,4.000
Linear increase,t20,44,5.520,0.000,0.000,6.000,3.200,4.000
Linear increase,t20,45,5.600,0.000,1.000,5.000,4.800,4.000
Linear increase,t20,46,5.680,0.000,1.000,3.000,8.480,4.000
Linear increase,t20,47,5.760,0.000,0.000,4.500,9.740,4.000
Linear increase,t20,48,5.840,0.000,0.000,8.000,7.580,4.000
Linear increase,t20,49,5.920,0.000,0.000,7.000,6.500,4.000
Linear increase,t20,50,6.000,0.000,0.000,8.000,4.500,4.000
Linear increase,t20,51,6.080,0.000,0.000,7.000,3.580,4.000
Linear increase,t20,52,6.160,0.000,1.000,10.000,0.740,4.000
Linear increase,t20,53,6.240,0.000,3.000,0.000,9.980,4.000
Linear increase,t20,54,6.320,0.000,0.000,8.000,8.300,4.000
Linear increase,t20,55,6.400,0.000,0.000,9.000,5.700,4.000
Linear increase,t20,56,6.480,0.000,1.000,9.000,4.180,4.000
Linear increase,t20,57,6.560,0.000,1.000,5.000,6.740,4.000
Linear increase,t20,58,6.640,0.000,0.000,10.000,3.380,4.000
Linear increase,t20,59,6.720,0.000,0.000,5.000,5.100,4.000
Linear increase,t20,60,6.800,0.000,0.000,6.000,5.900,4.000
Linear increase,t20,61,6.880,0.000,0.000,8.000,4.780,4.000
Linear increase,t20,62,6.960,0.000,0.000,10.000,1.740,4.000
Linear increase,t20,63,7.040,0.000,2.000,8.000,2.780,4.000
Linear increase,t20,64,7.120,0.000,4.000,3.000,10.900,4.000
Linear increase,t20,65,7.200,0.000,0.000,10.000,8.100,4.000
Linear increase,t20,66,7.280,0.000,0.000,10.000,5.380,4.000
Linear increase,t20,67,7.360,0.000,0.000,10.000,2.740,4.000
Linear increase,t20,68,7.440,0.000,1.000,8.000,3.180,4.000
Linear increase,t20,69,7.520,0.000,2.000,6.000,6.700,4.000
Linear increase,t20,70,7.600,0.000,0.000,10.000,4.300,4.000
Linear increase,t20,71,7.680,0.000,0.000,4.300,7.680,4.000
Linear increase,t20,72,7.760,0.000,0.000,6.500,8.940,4.000
Linear increase,t20,73,7.840,0.000,0.000,8.940,7.840,4.000
Linear increase,t20,74,7.920,0.000,0.000,12.500,3.260,4.000
Linear increase,t20,75,8.000,0.000,0.000,10.260,1.000,4.000
Linear increase,t20,76,8.080,0.000,3.000,3.000,9.080,4.000
Linear increase,t20,77,8.160,0.000,0.000,10.500,6.740,4.000
Linear increase,t20,78,8.240,0.000,0.000,10.000,4.980,4.000
Linear increase,t20,79,8.320,0.000,0.000,10.500,2.800,4.000
Linear increase,t20,80,8.400,0.000,2.000,10.000,3.200,4.000
Linear increase,t20,81,8.480,0.000,1.000,7.500,5.180,4.000
Linear increase,t20,82,8.560,0.000,1.000,5.000,9.740,4.000
Linear increase,t20,83,8.640,0.000,0.000,12.000,6.380,4.000
Linear increase,t20,84,8.720,0.000,0.000,8.000,7.100,4.000
Linear increase,t20,85,8.800,0.000,0.000,10.000,5.900,4.000
Linear increase,t20,86,8.880,0.000,0.000,12.000,2.780,4.000
Linear increase,t20,87,8.960,0.000,2.000,12.500,1.240,4.000
Linear increase,t20,88,9.040,0.000,1.000,3.000,8.280,4.000
Linear increase,t20,89,9.120,0.000,0.000,10.000,7.400,4.000
Linear increase,t20,90,9.200,0.000,0.000,9.750,6.850,4.000
Linear increase,t20,91,9.280,0.000,0.000,12.750,3.380,4.000
Linear increase,t20,92,9.360,0.000,0.000,8.500,4.240,4.000
Linear increase,t20,93,9.440,0.000,0.000,9.240,4.440,4.000
Linear increase,t20,94,9.520,0.000,0.000,9.560,4.400,4.000
Linear increase,t20,95,9.600,0.000,0.000,10.600,3.400,4.000
Linear increase,t20,96,9.680,0.000,0.000,10.600,2.480,4.000
